X_time_index,y_time_index,year-month
353,354,1929-06
354,355,1929-07
355,356,1929-08
356,357,1929-09
357,358,1929-10
358,359,1929-11
359,360,1929-12
360,361,1930-01
361,362,1930-02
362,363,1930-03
363,364,1930-04
364,365,1930-05
365,366,1930-06
366,367,1930-07
367,368,1930-08
368,369,1930-09
369,370,1930-10
370,371,1930-11
371,372,1930-12
372,373,1931-01
373,374,1931-02
374,375,1931-03
375,376,1931-04
376,377,1931-05
377,378,1931-06
378,379,1931-07
379,380,1931-08
380,381,1931-09
381,382,1931-10
382,383,1931-11
383,384,1931-12
384,385,1932-01
385,386,1932-02
386,387,1932-03
387,388,1932-04
388,389,1932-05
389,390,1932-06
390,391,1932-07
391,392,1932-08
392,393,1932-09
393,394,1932-10
394,395,1932-11
395,396,1932-12
396,397,1933-01
397,398,1933-02
398,399,1933-03
399,400,1933-04
400,401,1933-05
401,402,1933-06
402,403,1933-07
403,404,1933-08
404,405,1933-09
405,406,1933-10
406,407,1933-11
407,408,1933-12
408,409,1934-01
409,410,1934-02
410,411,1934-03
411,412,1934-04
412,413,1934-05
413,414,1934-06
414,415,1934-07
415,416,1934-08
416,417,1934-09
417,418,1934-10
418,419,1934-11
419,420,1934-12
420,421,1935-01
421,422,1935-02
422,423,1935-03
423,424,1935-04
424,425,1935-05
425,426,1935-06
426,427,1935-07
427,428,1935-08
428,429,1935-09
429,430,1935-10
430,431,1935-11
431,432,1935-12
432,433,1936-01
433,434,1936-02
434,435,1936-03
435,436,1936-04
436,437,1936-05
437,438,1936-06
438,439,1936-07
439,440,1936-08
440,441,1936-09
441,442,1936-10
442,443,1936-11
443,444,1936-12
444,445,1937-01
445,446,1937-02
446,447,1937-03
447,448,1937-04
448,449,1937-05
449,450,1937-06
450,451,1937-07
451,452,1937-08
452,453,1937-09
453,454,1937-10
454,455,1937-11
455,456,1937-12
456,457,1938-01
457,458,1938-02
458,459,1938-03
459,460,1938-04
460,461,1938-05
461,462,1938-06
462,463,1938-07
463,464,1938-08
464,465,1938-09
465,466,1938-10
466,467,1938-11
467,468,1938-12
468,469,1939-01
469,470,1939-02
470,471,1939-03
471,472,1939-04
472,473,1939-05
473,474,1939-06
474,475,1939-07
475,476,1939-08
476,477,1939-09
477,478,1939-10
478,479,1939-11
479,480,1939-12
