Index,Year-Month,Month,Year
1150,1995-10,10,1995
1151,1995-11,11,1995
1152,1995-12,12,1995
1153,1996-1,1,1996
1154,1996-2,2,1996
1155,1996-3,3,1996
1156,1996-4,4,1996
1157,1996-5,5,1996
1158,1996-6,6,1996
1159,1996-7,7,1996
1160,1996-8,8,1996
1161,1996-9,9,1996
1162,1996-10,10,1996
1163,1996-11,11,1996
1164,1996-12,12,1996
1165,1997-1,1,1997
1166,1997-2,2,1997
1167,1997-3,3,1997
1168,1997-4,4,1997
1169,1997-5,5,1997
1170,1997-6,6,1997
1171,1997-7,7,1997
1172,1997-8,8,1997
1173,1997-9,9,1997
1174,1997-10,10,1997
1175,1997-11,11,1997
1176,1997-12,12,1997
1177,1998-1,1,1998
1178,1998-2,2,1998
1179,1998-3,3,1998
1180,1998-4,4,1998
1181,1998-5,5,1998
1182,1998-6,6,1998
1183,1998-7,7,1998
1184,1998-8,8,1998
1185,1998-9,9,1998
1186,1998-10,10,1998
1187,1998-11,11,1998
1188,1998-12,12,1998
1189,1999-1,1,1999
1190,1999-2,2,1999
1191,1999-3,3,1999
1192,1999-4,4,1999
1193,1999-5,5,1999
1194,1999-6,6,1999
1195,1999-7,7,1999
1196,1999-8,8,1999
1197,1999-9,9,1999
1198,1999-10,10,1999
1199,1999-11,11,1999
1200,1999-12,12,1999
1201,2000-1,1,2000
1202,2000-2,2,2000
1203,2000-3,3,2000
1204,2000-4,4,2000
1205,2000-5,5,2000
1206,2000-6,6,2000
1207,2000-7,7,2000
1208,2000-8,8,2000
1209,2000-9,9,2000
1210,2000-10,10,2000
1211,2000-11,11,2000
1212,2000-12,12,2000
1213,2001-1,1,2001
1214,2001-2,2,2001
1215,2001-3,3,2001
1216,2001-4,4,2001
1217,2001-5,5,2001
1218,2001-6,6,2001
1219,2001-7,7,2001
1220,2001-8,8,2001
1221,2001-9,9,2001
1222,2001-10,10,2001
1223,2001-11,11,2001
1224,2001-12,12,2001
1225,2002-1,1,2002
1226,2002-2,2,2002
1227,2002-3,3,2002
1228,2002-4,4,2002
1229,2002-5,5,2002
1230,2002-6,6,2002
1231,2002-7,7,2002
1232,2002-8,8,2002
1233,2002-9,9,2002
1234,2002-10,10,2002
1235,2002-11,11,2002
1236,2002-12,12,2002
1237,2003-1,1,2003
1238,2003-2,2,2003
1239,2003-3,3,2003
1240,2003-4,4,2003
1241,2003-5,5,2003
1242,2003-6,6,2003
1243,2003-7,7,2003
1244,2003-8,8,2003
1245,2003-9,9,2003
1246,2003-10,10,2003
1247,2003-11,11,2003
1248,2003-12,12,2003
1249,2004-1,1,2004
1250,2004-2,2,2004
1251,2004-3,3,2004
1252,2004-4,4,2004
1253,2004-5,5,2004
1254,2004-6,6,2004
1255,2004-7,7,2004
1256,2004-8,8,2004
1257,2004-9,9,2004
1258,2004-10,10,2004
1259,2004-11,11,2004
1260,2004-12,12,2004
1261,2005-1,1,2005
1262,2005-2,2,2005
1263,2005-3,3,2005
1264,2005-4,4,2005
1265,2005-5,5,2005
1266,2005-6,6,2005
1267,2005-7,7,2005
1268,2005-8,8,2005
1269,2005-9,9,2005
1270,2005-10,10,2005
1271,2005-11,11,2005
1272,2005-12,12,2005
1273,2006-1,1,2006
1274,2006-2,2,2006
1275,2006-3,3,2006
1276,2006-4,4,2006
1277,2006-5,5,2006
1278,2006-6,6,2006
1279,2006-7,7,2006
1280,2006-8,8,2006
1281,2006-9,9,2006
1282,2006-10,10,2006
1283,2006-11,11,2006
1284,2006-12,12,2006
1285,2007-1,1,2007
1286,2007-2,2,2007
1287,2007-3,3,2007
1288,2007-4,4,2007
1289,2007-5,5,2007
1290,2007-6,6,2007
1291,2007-7,7,2007
1292,2007-8,8,2007
1293,2007-9,9,2007
1294,2007-10,10,2007
1295,2007-11,11,2007
1296,2007-12,12,2007
1297,2008-1,1,2008
1298,2008-2,2,2008
1299,2008-3,3,2008
1300,2008-4,4,2008
1301,2008-5,5,2008
1302,2008-6,6,2008
1303,2008-7,7,2008
1304,2008-8,8,2008
1305,2008-9,9,2008
1306,2008-10,10,2008
1307,2008-11,11,2008
1308,2008-12,12,2008
1309,2009-1,1,2009
1310,2009-2,2,2009
1311,2009-3,3,2009
1312,2009-4,4,2009
1313,2009-5,5,2009
1314,2009-6,6,2009
1315,2009-7,7,2009
1316,2009-8,8,2009
1317,2009-9,9,2009
1318,2009-10,10,2009
1319,2009-11,11,2009
1320,2009-12,12,2009
1321,2010-1,1,2010
1322,2010-2,2,2010
1323,2010-3,3,2010
1324,2010-4,4,2010
1325,2010-5,5,2010
1326,2010-6,6,2010
1327,2010-7,7,2010
1328,2010-8,8,2010
1329,2010-9,9,2010
1330,2010-10,10,2010
1331,2010-11,11,2010
1332,2010-12,12,2010
1333,2011-1,1,2011
1334,2011-2,2,2011
1335,2011-3,3,2011
1336,2011-4,4,2011
1337,2011-5,5,2011
1338,2011-6,6,2011
1339,2011-7,7,2011
1340,2011-8,8,2011
1341,2011-9,9,2011
1342,2011-10,10,2011
1343,2011-11,11,2011
1344,2011-12,12,2011
1345,2012-1,1,2012
1346,2012-2,2,2012
1347,2012-3,3,2012
1348,2012-4,4,2012
1349,2012-5,5,2012
1350,2012-6,6,2012
1351,2012-7,7,2012
1352,2012-8,8,2012
1353,2012-9,9,2012
1354,2012-10,10,2012
1355,2012-11,11,2012
1356,2012-12,12,2012
1357,2013-1,1,2013
1358,2013-2,2,2013
1359,2013-3,3,2013
1360,2013-4,4,2013
1361,2013-5,5,2013
1362,2013-6,6,2013
1363,2013-7,7,2013
1364,2013-8,8,2013
1365,2013-9,9,2013
1366,2013-10,10,2013
1367,2013-11,11,2013
1368,2013-12,12,2013
1369,2014-1,1,2014
1370,2014-2,2,2014
1371,2014-3,3,2014
1372,2014-4,4,2014
1373,2014-5,5,2014
1374,2014-6,6,2014
1375,2014-7,7,2014
1376,2014-8,8,2014
1377,2014-9,9,2014
1378,2014-10,10,2014
1379,2014-11,11,2014
1380,2014-12,12,2014
1381,2015-1,1,2015
1382,2015-2,2,2015
1383,2015-3,3,2015
1384,2015-4,4,2015
1385,2015-5,5,2015
1386,2015-6,6,2015
1387,2015-7,7,2015
1388,2015-8,8,2015
1389,2015-9,9,2015
1390,2015-10,10,2015
1391,2015-11,11,2015
1392,2015-12,12,2015
1393,2016-1,1,2016
1394,2016-2,2,2016
1395,2016-3,3,2016
1396,2016-4,4,2016
1397,2016-5,5,2016
1398,2016-6,6,2016
1399,2016-7,7,2016
1400,2016-8,8,2016
1401,2016-9,9,2016
1402,2016-10,10,2016
1403,2016-11,11,2016
1404,2016-12,12,2016
1405,2017-1,1,2017
1406,2017-2,2,2017
1407,2017-3,3,2017
1408,2017-4,4,2017
1409,2017-5,5,2017
1410,2017-6,6,2017
1411,2017-7,7,2017
1412,2017-8,8,2017
1413,2017-9,9,2017
1414,2017-10,10,2017
1415,2017-11,11,2017
1416,2017-12,12,2017
