Index,Year-Month,Month,Year
266,1922-2,2,1922
267,1922-3,3,1922
268,1922-4,4,1922
269,1922-5,5,1922
270,1922-6,6,1922
271,1922-7,7,1922
272,1922-8,8,1922
273,1922-9,9,1922
274,1922-10,10,1922
275,1922-11,11,1922
276,1922-12,12,1922
277,1923-1,1,1923
278,1923-2,2,1923
279,1923-3,3,1923
280,1923-4,4,1923
281,1923-5,5,1923
282,1923-6,6,1923
283,1923-7,7,1923
284,1923-8,8,1923
285,1923-9,9,1923
286,1923-10,10,1923
287,1923-11,11,1923
288,1923-12,12,1923
289,1924-1,1,1924
290,1924-2,2,1924
291,1924-3,3,1924
292,1924-4,4,1924
293,1924-5,5,1924
294,1924-6,6,1924
295,1924-7,7,1924
296,1924-8,8,1924
297,1924-9,9,1924
298,1924-10,10,1924
299,1924-11,11,1924
300,1924-12,12,1924
301,1925-1,1,1925
302,1925-2,2,1925
303,1925-3,3,1925
304,1925-4,4,1925
305,1925-5,5,1925
306,1925-6,6,1925
307,1925-7,7,1925
308,1925-8,8,1925
309,1925-9,9,1925
310,1925-10,10,1925
311,1925-11,11,1925
312,1925-12,12,1925
313,1926-1,1,1926
314,1926-2,2,1926
315,1926-3,3,1926
316,1926-4,4,1926
317,1926-5,5,1926
318,1926-6,6,1926
319,1926-7,7,1926
320,1926-8,8,1926
321,1926-9,9,1926
322,1926-10,10,1926
323,1926-11,11,1926
324,1926-12,12,1926
325,1927-1,1,1927
326,1927-2,2,1927
327,1927-3,3,1927
328,1927-4,4,1927
329,1927-5,5,1927
330,1927-6,6,1927
331,1927-7,7,1927
332,1927-8,8,1927
333,1927-9,9,1927
334,1927-10,10,1927
335,1927-11,11,1927
336,1927-12,12,1927
337,1928-1,1,1928
338,1928-2,2,1928
339,1928-3,3,1928
340,1928-4,4,1928
341,1928-5,5,1928
342,1928-6,6,1928
343,1928-7,7,1928
344,1928-8,8,1928
345,1928-9,9,1928
346,1928-10,10,1928
347,1928-11,11,1928
348,1928-12,12,1928
349,1929-1,1,1929
350,1929-2,2,1929
351,1929-3,3,1929
352,1929-4,4,1929
353,1929-5,5,1929
354,1929-6,6,1929
355,1929-7,7,1929
356,1929-8,8,1929
357,1929-9,9,1929
358,1929-10,10,1929
359,1929-11,11,1929
360,1929-12,12,1929
361,1930-1,1,1930
362,1930-2,2,1930
363,1930-3,3,1930
364,1930-4,4,1930
365,1930-5,5,1930
366,1930-6,6,1930
367,1930-7,7,1930
368,1930-8,8,1930
369,1930-9,9,1930
370,1930-10,10,1930
371,1930-11,11,1930
372,1930-12,12,1930
373,1931-1,1,1931
374,1931-2,2,1931
375,1931-3,3,1931
376,1931-4,4,1931
377,1931-5,5,1931
378,1931-6,6,1931
379,1931-7,7,1931
380,1931-8,8,1931
381,1931-9,9,1931
382,1931-10,10,1931
383,1931-11,11,1931
384,1931-12,12,1931
385,1932-1,1,1932
386,1932-2,2,1932
387,1932-3,3,1932
388,1932-4,4,1932
389,1932-5,5,1932
390,1932-6,6,1932
391,1932-7,7,1932
392,1932-8,8,1932
393,1932-9,9,1932
394,1932-10,10,1932
395,1932-11,11,1932
396,1932-12,12,1932
397,1933-1,1,1933
398,1933-2,2,1933
399,1933-3,3,1933
400,1933-4,4,1933
401,1933-5,5,1933
402,1933-6,6,1933
403,1933-7,7,1933
404,1933-8,8,1933
405,1933-9,9,1933
406,1933-10,10,1933
407,1933-11,11,1933
408,1933-12,12,1933
409,1934-1,1,1934
410,1934-2,2,1934
411,1934-3,3,1934
412,1934-4,4,1934
413,1934-5,5,1934
414,1934-6,6,1934
415,1934-7,7,1934
416,1934-8,8,1934
417,1934-9,9,1934
418,1934-10,10,1934
419,1934-11,11,1934
420,1934-12,12,1934
421,1935-1,1,1935
422,1935-2,2,1935
423,1935-3,3,1935
424,1935-4,4,1935
425,1935-5,5,1935
426,1935-6,6,1935
427,1935-7,7,1935
428,1935-8,8,1935
429,1935-9,9,1935
430,1935-10,10,1935
431,1935-11,11,1935
432,1935-12,12,1935
433,1936-1,1,1936
434,1936-2,2,1936
435,1936-3,3,1936
436,1936-4,4,1936
437,1936-5,5,1936
438,1936-6,6,1936
439,1936-7,7,1936
440,1936-8,8,1936
441,1936-9,9,1936
442,1936-10,10,1936
443,1936-11,11,1936
444,1936-12,12,1936
445,1937-1,1,1937
446,1937-2,2,1937
447,1937-3,3,1937
448,1937-4,4,1937
449,1937-5,5,1937
450,1937-6,6,1937
451,1937-7,7,1937
452,1937-8,8,1937
453,1937-9,9,1937
454,1937-10,10,1937
455,1937-11,11,1937
456,1937-12,12,1937
457,1938-1,1,1938
458,1938-2,2,1938
459,1938-3,3,1938
460,1938-4,4,1938
461,1938-5,5,1938
462,1938-6,6,1938
463,1938-7,7,1938
464,1938-8,8,1938
465,1938-9,9,1938
466,1938-10,10,1938
467,1938-11,11,1938
468,1938-12,12,1938
469,1939-1,1,1939
470,1939-2,2,1939
471,1939-3,3,1939
472,1939-4,4,1939
473,1939-5,5,1939
474,1939-6,6,1939
475,1939-7,7,1939
476,1939-8,8,1939
477,1939-9,9,1939
478,1939-10,10,1939
479,1939-11,11,1939
480,1939-12,12,1939
481,1940-1,1,1940
482,1940-2,2,1940
483,1940-3,3,1940
484,1940-4,4,1940
485,1940-5,5,1940
486,1940-6,6,1940
487,1940-7,7,1940
488,1940-8,8,1940
489,1940-9,9,1940
490,1940-10,10,1940
491,1940-11,11,1940
492,1940-12,12,1940
493,1941-1,1,1941
494,1941-2,2,1941
495,1941-3,3,1941
496,1941-4,4,1941
497,1941-5,5,1941
498,1941-6,6,1941
499,1941-7,7,1941
500,1941-8,8,1941
501,1941-9,9,1941
502,1941-10,10,1941
503,1941-11,11,1941
504,1941-12,12,1941
505,1942-1,1,1942
506,1942-2,2,1942
