,count,mean,std,min,25%,50%,75%,max
forward_twentythree_month_return_median,19811,23.13536501,55.04662575,-23.58172792,-19.35251429,14.61697064,15.83643163,128.2343427
forward_twentyone_month_return_mad,19811,39.17060643,25.11447784,6.836884211,17.70642333,46.27553256,46.45401332,78.49498042
forward_twentytwo_month_return_mad,19811,70.64909309,52.4682294,4.180274623,26.93375807,60.29619154,126.3815839,135.684285
forward_twentythree_month_return_mad,19811,92.96158182,57.16117191,25.23929782,49.49895703,76.67611873,129.9745527,183.6427152
past_twentyone_month_return_median,19821,-3.204891856,5.989397848,-15.02806568,-1.375222697,-0.734649123,-0.140975858,1.300972782
past_twentytwo_month_return_median,19821,-2.817188454,4.808175303,-12.01964243,-1.903235653,-1.38718395,-0.781657113,2.043872198
past_twentythree_month_return_median,19821,-1.728772838,4.058989701,-8.662550828,-2.219987306,-1.851179673,0.442046339,3.673914465
past_twentyone_month_return_mad,19821,14.53734142,7.517350371,8.060534054,9.266954199,9.438954383,18.29000068,27.697851
past_twentytwo_month_return_mad,19821,8.893505881,7.216100843,2.59227782,5.342017108,5.746279157,7.88588474,22.95587911
past_twentythree_month_return_mad,19821,10.65453781,5.909235322,3.952016631,8.489074592,9.069916659,10.07258506,21.72498137
forward_seven_month_return_sector_zscore,19848,5.250899214,221.649262,-9.019906444,-0.709259265,0,0.635398588,12277.05967
past_seven_month_return_sector_zscore,19853,6.7118699,257.4661505,-9.04478307,-0.713602607,0,0.635003128,11906.65466
forward_seven_month_return,19881,99.52494238,3911.688183,-99.93929236,-24.81273408,-5.235602094,10.17223462,151587.1166
forward_seven_month_return_zscore,19881,3.635380436,138.6974139,-4.302648601,-0.756287061,0,0.611791742,6410.555822
past_seven_month_return,19899,96.34290498,3909.748571,-99.93929236,-24.45853121,-5.873475035,8.468981523,151587.1166
past_seven_month_return_zscore,19899,5.999470539,240.8593687,-8.231626062,-0.757815116,0,0.611212818,12175.58093
past_fifteen_month_return_sector_median,20568,-4.896701655,14.93069726,-74.03555219,-10.57519572,-5.183246073,4.509682069,18.05733892
past_fifteen_month_return_sector_mad,20568,19.26971238,14.81327389,0,8.716031863,15.73570467,27.41066104,68.07938173
PEG_ltgforward,20612,1.405119542,5.864932538,-38.199,0.554,1.651,2.662,37.632
PEG_ltgforward_zscore,20612,-0.15228085,3.826772771,-27.72134612,-0.702811702,0,0.652521973,24.90388434
PEG_ltgforward_sector_zscore,20612,-0.132361216,4.323188622,-53.71067225,-0.711399215,0,0.617973664,55.1572805
forward_fifteen_month_return_sector_median,20782,18.84740571,120.7091727,-72.89011635,-7.152078609,-2.134285345,9.251922278,684.1976961
forward_fifteen_month_return_sector_mad,20782,69.75157523,174.0906392,0,18.20905262,29.88764051,68.89769719,1024.670159
past_fourteen_month_return_sector_median,21181,-4.052326128,14.44745521,-72.96698659,-11.09189512,-3.811585165,5.166891928,18.93348834
past_fourteen_month_return_sector_mad,21181,16.55506801,17.19384289,0.078071964,6.363311252,10.36759026,16.04949273,70.83297526
forward_fourteen_month_return_sector_median,21399,0.40739382,32.72010953,-73.33767002,-9.081697795,-4.299677983,5.166891928,170.8009281
forward_fourteen_month_return_sector_mad,21399,31.17700538,44.52237849,0,7.961669822,18.56608027,26.33192492,245.8316557
PEG_trailing,23369,2.472489666,7.69906693,-10.589,0.06,0.701,1.986,89.915
PEG_trailing_zscore,23369,1.692824949,7.262650157,-11.08592477,-0.603972601,0,1.228307369,79.04872353
PEG_trailing_sector_zscore,23369,1.832555773,8.484101934,-36.02308414,-0.528371855,0,1.163699624,221.4602961
forward_six_month_return_sector_zscore,23689,1.983845643,150.1926505,-11.91793608,-0.712423987,0,0.640420254,12879.61284
forward_six_month_return,23724,19.33030693,1852.11029,-99.93742069,-21.92681734,-4.649208981,9.023030609,143342.8036
forward_six_month_return_zscore,23724,1.04574132,79.24986123,-7.12448106,-0.750458349,0,0.609525355,6364.033391
past_six_month_return_sector_zscore,23732,3.857512759,327.23825,-25.39649742,-0.703674327,0,0.642507389,33399.29168
forward_eighteen_month_return_median,23769,-5.149064511,8.084337612,-19.3190463,-6.232834338,-4.434132508,-3.162128034,8.430427979
forward_nineteen_month_return_median,23769,7.781791199,7.032323754,-4.903326705,5.018876023,6.247067236,13.96665547,16.99233874
forward_twenty_month_return_median,23769,15.68672942,53.0458759,-28.04286954,-10.63166137,-0.78653932,6.207273703,131.9682434
forward_eighteen_month_return_mad,23769,17.1744863,6.571011789,9.053857053,10.38615888,18.35977942,19.40518039,29.02184957
forward_nineteen_month_return_mad,23769,62.74787412,50.67105819,4.073283269,28.59436062,31.67540753,127.9376357,136.1099643
forward_twenty_month_return_mad,23769,69.2830134,56.73479317,18.8761905,23.01476915,35.37480778,85.77732632,184.2338303
past_eighteen_month_return_median,23770,-3.275951698,7.671185879,-11.48017732,-10.7392235,-7.913519431,2.640348629,9.843395369
past_nineteen_month_return_median,23770,-2.416500705,7.857028102,-12.99335553,-7.832078184,-6.817820207,2.152546406,11.13409435
past_twenty_month_return_median,23770,-1.749912714,8.555411734,-14.22618796,-5.834665703,-4.392083764,0.379881657,14.18902783
past_eighteen_month_return_mad,23770,12.21762226,6.913880025,2.308674084,5.946591544,9.817204252,16.88819762,22.71403377
past_nineteen_month_return_mad,23770,13.00839077,8.391849552,3.244294741,5.237445728,5.488487113,21.11167858,22.15704433
past_twenty_month_return_mad,23770,12.47328498,5.685767677,5.057697234,8.91871158,9.641324843,20.04171843,20.1680669
past_six_month_return,23782,17.38458283,1849.543396,-99.93742069,-22.28306066,-5.318727786,8.057844933,143342.8036
past_six_month_return_zscore,23782,1.736562591,146.4680901,-10.0923776,-0.750936114,0,0.612089091,14542.86446
rd_sale_sector_zscore,24000,inf,,-0.921297186,-0.555141374,0.67294751,1876.837749,inf
past_twelve_month_return_sector_median,24465,-4.098155866,13.32468571,-78.15698628,-8.573682052,-2.887029289,3.075938169,19.83583651
past_thirteen_month_return_sector_median,24465,-4.709606866,15.10270984,-78.91452345,-11.38197949,-4.85585683,3.911735206,27.63788969
past_twelve_month_return_sector_mad,24465,12.34205964,10.66859645,0.066455521,6.052355803,9.066319419,14.97588594,46.73634
past_thirteen_month_return_sector_mad,24465,17.54232598,14.18790612,0,8.093971692,14.24015891,22.0495145,61.03667452
forward_twelve_month_return_sector_median,24688,-2.49915624,15.32946942,-78.56304356,-6.883653914,-1.63337013,4.761882292,36.53398425
forward_thirteen_month_return_sector_median,24688,15.01534368,109.6784439,-72.72947764,-10.59051288,-0.434309253,7.138681831,667.9727968
forward_twelve_month_return_sector_mad,24688,14.33121038,14.83379533,0,6.154422223,9.34311741,16.80860142,73.84629209
forward_thirteen_month_return_sector_mad,24688,64.83383674,158.7264875,0,18.11744219,26.76339461,63.51764062,1004.398095
adv_sale_sector_zscore,26597,inf,,-0.67294751,-0.576812152,0.865218227,,inf
DIVYIELD_sector_zscore,26971,inf,,-4.448930761,-0.67294751,0.646864273,inf,inf
dvrate_sector_zscore,27262,inf,,-1.957665484,-0.67294751,0.91462112,inf,inf
